name,business_status,price_level,place_id,rating,types,lat,lng,open,old_neighborhood,neighborhood,borough,pull_date,pull_datetime,pull_week
Harry Sweets & Snacks,OPERATIONAL,NA,ChIJswM6yHpjwokRkrtm8R9vUsA,5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7422777,-73.72167189999999,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
AFRIDI Halal Food,OPERATIONAL,1,ChIJ_QzfnOeJwokRMTGrR8x3xsE,4.9,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7652027,-73.7252316,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Staunton's Bar & Restaurant,CLOSED_TEMPORARILY,1,ChIJr-pmSidiwokRynKcBmVCJdY,4.6,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7361111,-73.7463889,FALSE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Cara Mia Restaurant,OPERATIONAL,2,ChIJBRDEHCZiwokRX6ZWp8epudc,4.7,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7303649,-73.7429789,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Mama Lina,OPERATIONAL,NA,ChIJwZwbl_NhwokRf2pOZZZpOGQ,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7362821,-73.746787,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Majlis Restaurant & Lounge,OPERATIONAL,2,ChIJiU29gmxiwokRPVeV8EigqQM,4.5,"c(""cafe"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7426898,-73.7219959,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Hot Peppers,OPERATIONAL,1,ChIJpfZfMkBjwokR6JuGvzoChw4,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.73646,-73.7469081,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Wild Basil,OPERATIONAL,NA,ChIJv8O4dsNjwokRS65-0CKSQdY,4.2,"c(""meal_delivery"", ""meal_takeaway"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.7355918,-73.7466287,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Sevan,OPERATIONAL,2,ChIJPTMN3-1hwokRR2rMLbEzscE,4.5,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7480333,-73.76128059999999,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
Osaka,OPERATIONAL,2,ChIJyf5kzCBiwokRyHZENWr0ENs,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7361745,-73.7458884,TRUE,"Alley Pond Park, Queens",Alley Pond Park, Queens,2020-06-18,2020-06-19T01:20:22Z,25
