name,business_status,price_level,place_id,rating,types,lat,lng,open,neighborhood
THEP Thai Restaurant,OPERATIONAL,2,ChIJz6VeesBYwokRNBYu4Sar8lw,4.5,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.78117779999999,-73.95248889999999,TRUE,Upper East Side
Amali,OPERATIONAL,3,ChIJB6L7g-9YwokRTm44C_ToKdw,4.2,"c(""meal_takeaway"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7714726,-73.9591308,TRUE,Upper East Side
Pascalou,OPERATIONAL,2,ChIJaZdHxaNYwokRC5nuEnKTBeM,4.4,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7710523,-73.9593375,TRUE,Upper East Side
La Esquina - UES,OPERATIONAL,1,ChIJV1VTPcBYwokRkMJqQfg8jdE,4.1,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7650225,-73.9676044,TRUE,Upper East Side
Il Divo,OPERATIONAL,NA,ChIJST9CcpdZwokR-oklVC1SFJk,4.2,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7750295,-73.9535487,TRUE,Upper East Side
Calexico,OPERATIONAL,2,ChIJH9oRDr9YwokRIChPg5EDrO4,4.3,"c(""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.776356,-73.9567749,TRUE,Upper East Side
Mission Ceviche - Restaurant & Bar,OPERATIONAL,NA,ChIJEXPLsaFZwokRggZzIVKeiPM,4.6,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7715096,-73.956073,TRUE,Upper East Side
Paola's,OPERATIONAL,3,ChIJR4fcjLtYwokRu8yexUQhOTg,4.5,"c(""meal_delivery"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.7650865,-73.9657054,TRUE,Upper East Side
Sant Ambroeus,OPERATIONAL,3,ChIJL-_3K5RYwokRzKguUK0MB-w,4.5,"c(""bakery"", ""cafe"", ""bar"", ""restaurant"", ""food"", ""point_of_interest"", ""store"", ""establishment"")",40.7692221,-73.96281970000001,TRUE,Upper East Side
Match 65 Brasserie,OPERATIONAL,3,ChIJraJ9su5YwokR7iKyqGteG58,4.4,"c(""restaurant"", ""food"", ""point_of_interest"", ""establishment"")",40.7733983,-73.9638262,TRUE,Upper East Side
