n,id,2020-05-23,2020-05-24
2,551,NA,Keens Steakhouse
2,553,NA,Hangawi
2,554,NA,Patsy's
2,555,NA,Gallaghers Steakhouse
2,556,NA,Black Iron Burger
2,557,NA,Marea
2,558,NA,Loi Estiatorio
2,559,NA,Bengal Tiger
2,560,NA,Grand Central Oyster Bar & Restaurant
2,563,NA,Molyvos
2,565,NA,Sushi Yasuda
2,566,NA,Agern
2,567,NA,Sakagura
2,568,NA,Totto Ramen Midtown East
2,569,NA,Aburiya Kinnosuke
2,571,NA,The Original Soup Kitchen
2,572,NA,Ora Di Pasta
2,573,NA,Indian Accent
2,574,NA,Casa Lever
2,575,NA,Socarrat Paella Bar - Midtown East
2,577,NA,Feinstein's/54 Below
2,578,NA,Il Corso
2,579,NA,Havana NY
2,581,NA,Basso56
2,582,NA,NAYA Mezze & Grill
2,583,NA,Il Tinello
2,584,NA,Smith & Wollensky
2,585,NA,Porter House Bar and Grill
2,586,NA,Valbella Midtown
2,587,NA,Nocello
2,588,NA,The Smith
2,591,NA,Il Gattopardo
2,592,NA,Butter Midtown
2,593,NA,Hillstone
2,594,NA,Toscana 49
2,596,NA,Benoit New York
2,597,NA,Estiatorio Milos - Midtown New York
2,600,NA,Parker & Quinn
2,601,NA,Momosan Ramen & Sake
2,602,NA,Villa Berulia
2,603,NA,WOKUNI
2,604,NA,Rare Bar & Grill
2,605,NA,Little Alley
2,606,NA,Sarge's Delicatessen & Diner
2,607,NA,Hakubai
2,608,NA,Rossini's
2,609,NA,El Parador Cafe
2,610,NA,The Shakespeare
2,611,NA,Sons of Thunder
2,612,NA,Hendriks
2,613,NA,Franchia Vegan Café
2,615,NA,BAP
2,616,NA,Sam's Place
2,617,NA,Park Avenue Tavern
2,619,NA,Wagamama
2,620,NA,Kajitsu
2,621,NA,Jackson Hole
2,622,NA,Sachi Asian Bistro
2,623,NA,House of Lasagna
2,624,NA,Sushi Zo Hanare
2,627,NA,Fine & Rare
2,628,NA,The Morgan Dining Room
2,629,NA,Bedford & Co.
2,630,NA,Duke's
2,631,NA,WINE:34
2,632,NA,Delectica
2,633,NA,Zuma
2,634,NA,La Stanza
2,635,NA,Ratatouille
2,636,NA,El Rio Grande
2,637,NA,Spice Symphony
2,638,NA,Previti Pizza
2,639,NA,Garlic
2,640,NA,Sinigual
2,641,NA,Kokage
2,643,NA,Tempura Matsui
2,644,NA,Nirvana
2,645,NA,Pershing Square
2,646,NA,Docks Oyster Bar
2,647,NA,Baby Bo's Cantina
2,648,NA,Pokeworks
2,649,NA,Benjamin Steakhouse
2,650,NA,Zengo
2,652,NA,Tam Sang
2,653,NA,EONS Greek Food for Life
2,654,NA,Sushi Ryusei
2,655,NA,Spoon Table & Bar
2,657,NA,Montagu's Gusto
2,658,NA,Libretto's
2,661,NA,Cookshop
